DateTime,GIC,GIC_QDC,IQR,Source
2018-01-30/18:29:04,5.26,0.1253,0.1447,Node_2
2018-02-01/21:14:30,20.51,0.0803,0.1503,Node_2
2018-02-01/21:14:31,15.03,0.0803,0.1503,Node_2
2018-02-01/21:14:32,10.97,0.0803,0.1503,Node_2
2018-02-01/21:14:33,8.03,0.0803,0.1503,Node_2
2018-02-01/21:14:34,5.97,0.0803,0.1503,Node_2
2018-02-02/01:37:47,7.68,-0.0848,0.08,Node_2
2018-02-20/17:16:34,5.81,0.0895,0.1795,Node_2
2018-02-20/17:16:35,5.54,0.0895,0.1795,Node_2
2018-02-25/09:25:13,12.61,-0.0734,0.1,Node_2
2018-03-08/19:37:30,6.52,0.1225,0.08,Node_2
2018-04-04/18:44:14,14.93,0.1805,0.1492,Node_2
2018-04-04/19:59:57,9.43,0.075,0.105,Node_2
2018-04-13/15:31:37,9.24,0.13,0.1168,Node_2
2018-04-19/01:13:19,38.01,-0.0894,0.1206,Node_2
2018-04-19/23:46:15,21.64,-0.0992,0.1404,Node_2
2018-04-21/00:51:18,8.24,-0.1084,0.0793,Node_2
2018-05-15/06:31:22,5.18,-0.1,0.07,Node_2
2018-05-28/12:04:58,5.26,-0.01,0.07,Node_2
2018-06-12/15:33:14,5.81,0.2418,0.08,Node_2
2018-06-29/05:32:47,6.26,-0.1441,0.0822,Node_2
2018-07-06/05:52:36,5.26,-0.1349,0.0675,Node_2
2018-08-23/07:33:45,5.5,-0.06,0.0925,Node_2
2018-09-06/08:16:07,5.22,-0.06,0.0896,Node_2
2018-09-14/04:23:30,5.02,-0.1258,0.13,Node_2
2018-09-16/04:17:42,5.11,-0.0873,0.1391,Node_2
2018-09-18/18:57:03,17.99,0.136,0.1641,Node_2
2018-09-18/18:57:49,39.73,0.1357,0.1656,Node_2
2018-09-23/06:14:40,9.47,-0.1201,0.0402,Node_2
2018-10-15/02:49:34,5.18,-0.137,0.0915,Node_2
2018-12-20/00:50:42,11.95,-0.07,0.1062,Node_2
2018-12-22/21:57:02,5.42,0.006,0.078,Node_2
2018-12-27/17:57:49,11.76,0.1544,0.1971,Node_2
2018-01-06/04:35:55,7.61,0.05,0.06,Node_3
2018-01-06/04:35:56,29.21,0.05,0.06,Node_3
2018-01-09/10:24:28,10.1,0.01,0.0668,Node_3
2018-01-25/08:15:28,5.08,0.0298,0.0698,Node_3
2018-03-15/19:19:45,14.59,0.01,0.1432,Node_3
2018-03-20/01:36:20,6.86,0.0313,0.1013,Node_3
2018-03-20/01:39:18,13.42,0.0343,0.1043,Node_3
2018-03-20/01:45:07,11.32,0.04,0.1099,Node_3
2018-04-04/05:50:43,5.51,0.0762,0.11,Node_3
2018-04-14/01:13:56,12.28,0.0393,0.08,Node_3
2018-04-14/09:05:16,17.29,0.0432,0.0835,Node_3
2018-04-22/03:48:58,5.48,0.096,0.1226,Node_3
2018-04-29/03:36:13,10.07,0.1171,0.11,Node_3
2018-05-01/03:55:45,11.73,0.1128,0.1136,Node_3
2018-05-01/03:55:46,5.71,0.1128,0.1136,Node_3
2018-05-02/21:55:05,8.31,-0.1033,0.14,Node_3
2018-05-02/21:55:53,9.52,-0.1027,0.14,Node_3
2018-05-02/21:55:59,7.54,-0.1027,0.14,Node_3
2018-05-04/13:17:52,5.03,-0.3671,0.1738,Node_3
2018-05-16/18:30:34,10.28,0.0792,0.1052,Node_3
2018-05-18/05:19:23,12.67,0.0642,0.0615,Node_3
2018-05-21/18:15:29,12.77,0.0794,0.1102,Node_3
2018-05-21/18:16:33,6.49,0.0779,0.1105,Node_3
2018-05-24/17:05:46,6.46,0.0977,0.1223,Node_3
2018-05-27/06:06:00,9.98,0.037,0.077,Node_3
2018-06-05/16:37:18,5.61,0.0569,0.1254,Node_3
2018-06-08/05:09:25,6.34,0.0719,0.0663,Node_3
2018-06-09/05:58:43,5.67,0.07,0.06,Node_3
2018-06-27/17:30:33,6.02,0.1596,0.1196,Node_3
2018-06-27/18:06:32,10.56,0.1428,0.11,Node_3
2018-06-28/10:46:40,6.14,0.0078,0.07,Node_3
2018-07-03/15:56:21,12.38,-0.0111,0.1165,Node_3
2018-07-03/15:56:27,15.06,-0.0109,0.1167,Node_3
2018-07-04/05:56:00,6.08,0.0473,0.0727,Node_3
2018-07-06/22:18:05,5.53,-0.049,0.1169,Node_3
2018-07-06/23:36:29,5.85,-0.017,0.0928,Node_3
2018-07-06/23:40:25,8.91,-0.0092,0.0915,Node_3
2018-07-09/12:50:00,13.48,-0.28,0.1517,Node_3
