,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,129.36214558283487,2.7129808600949663,2.2085020542144775,0.0334538440242935,200,20,2,sqrt,,True,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",-6.49138529178256,-8.01599112943987,-6.565074054408859,-7.024150158543763,0.7019823796912322,16
1,118.49193588892619,2.1820600142229214,1.8772897720336914,0.06475543284227372,200,10,2,sqrt,20,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",-6.493356276461958,-8.005211841650791,-6.56800838448639,-7.0221921675330465,0.6957676786998376,13
2,123.9310421148936,1.2385285027391115,2.2048941453297934,0.08636140869796889,200,20,4,sqrt,90,True,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 90, 'bootstrap': True}",-6.487379001820628,-7.997137917569846,-6.562632354048189,-7.015716424479554,0.6946494929483286,6
3,2928.3925104935965,16.344859992933664,10.760133584340414,0.38837073042260795,911,5,8,,90,False,"{'n_estimators': 911, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': None, 'max_depth': 90, 'bootstrap': False}",-8.48691445054957,-9.731025288356745,-8.465094450255961,-8.894344729720759,0.591689555990737,48
4,180.67846949895224,5.126032555040779,2.9979729652404785,0.037891630084174,288,20,2,log2,90,True,"{'n_estimators': 288, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 90, 'bootstrap': True}",-6.472788602760332,-8.008922391903965,-6.583723870136455,-7.021811621600251,0.6994604649414421,12
5,899.6463166077932,4.64457120117583,6.495771964391072,0.23092659204444166,555,2,8,0.5,70,False,"{'n_estimators': 555, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': 70, 'bootstrap': False}",-6.44547870230485,-8.066102310559783,-6.589587244072725,-7.033722752312452,0.7323694341736875,23
6,968.9894514083862,8.339402623850638,7.880206108093262,0.08506129198651341,555,2,4,0.5,60,False,"{'n_estimators': 555, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 60, 'bootstrap': False}",-6.457462842400004,-8.085720161611153,-6.615174781870212,-7.052785928627123,0.7332271640792704,30
7,1211.3441220124562,25.059583222442026,5.891480127970378,0.22878430395185445,555,5,8,,90,True,"{'n_estimators': 555, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': None, 'max_depth': 90, 'bootstrap': True}",-6.69106071241095,-8.170972806177124,-6.825978332004822,-7.229337283530966,0.6681111604870592,39
8,1600.9797186851501,45.5287402449642,8.529176235198975,0.2806980728313003,644,10,1,,100,True,"{'n_estimators': 644, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 100, 'bootstrap': True}",-6.734093405543717,-8.2353379343256,-6.861940394925742,-7.277123911598353,0.6795669200242466,47
9,429.7530771096547,10.780670551827606,2.4305153687795005,0.023549537262898743,733,10,8,0.5,10,True,"{'n_estimators': 733, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 0.5, 'max_depth': 10, 'bootstrap': True}",-6.441061782380622,-8.063632974363195,-6.597233036199981,-7.033975930981266,0.7308636833087225,24
10,681.6137061913809,1.4101746033821227,10.537488381067911,0.052512959446708876,733,2,4,log2,100,False,"{'n_estimators': 733, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}",-6.485365920693695,-8.007025918788447,-6.590701045028142,-7.027697628170095,0.6938236076067825,20
